Parameter Code,Analysis Method Code,Unit,Parameter Long Name,Method Name,Method Type,Method Number,Method Source,Method Description
TN,COL-AZO-Cd-UV-Auto,mg/l,Total Nitrogen,Automated Cadmium Reduction Method with UV Digestion,Colorimetry,SM 4500-NO3 F,APHA 2012,"A sample is preserved in the field at 4°C. On an autoanalyzer, a shaken sample aliquot is aerated, acidified and irradiated in a quartz coil by a UV lamp. The sample is made alkaline and the irradiated process repeated. This solution is mixed with an EDTA (disodium dihydrogen ethylenediamine tetraacetate) solution and the nitrates are reduced to nitrites through a column of Cadmium fillings. A sulphanilamide solution, followed by an N-1-Naphthylethylenediamine dihydrochloride solution, is added to the sample to form an azo dye. The intensity of the dye is measure spectrometrically at 550mµ, and compared to identically-prepared NO3 standard and blank solutions."
TN,COL-AZO-HDZ-PS,mg/l,Total Nitrogen,Hydrazine Reduction Method with Alkaline Persulfate Digestion,Colorimetry,4500-N C;4500-NO3 H,APHA 2012,"A sample is preserved in the field at 4°C. The Nitrogen of the sample aliquot is oxidised to nitrate in an alkaline persulphate solution. The nitrate is then reduced to nitrite in an alkaline hydrazine sulphate solution, containing copper as a catalyst. The resulting nitrites, under acidic conditions, react with sulphanilamine to form a diazo compound and couple with naphthylethylenediamine to form an azo dye. The colour intensity is proportional to the nitrogen concentration, measured spectrometrically at 520nm and compared to identically-prepared standard and blank solutions."
TN,COL-PS-Auto,mg/l,Total Nitrogen,Alkaline Persulphate Digestion - Automated,Colorimetry,,,Alkaline persulphate digestion. ~r~nNo other Information provided for method.
TN,N-PYR-CLD,mg/l,Total Nitrogen,Total Chemically Bound Nitrogen in Water by Pyrolysis and Chemiluminescence Detection,Spectroscopy,D5176,ASTM 1995,"The sample of water is introduced into a stream of oxygen or inert gas/oxygen mix flowing through a quartz pyrolysis tube. Oxidative pyrolysis converts chemically bound nitrogen to nitric oxide (NO). The gas stream is dried and the NO is contacted with ozone (O3) producing metastable nitrogen dioxide (NO2*). As the NO2* decays, light is emitted and detected by a photomultiplier tube. The resulting signal is a measure of the total chemically bound nitrogen in the sample.~r~n~r~nThis test method covers the determination of the total nitrogen content of water in concentrations from 0.5 to 1000 mg/L. Higher nitrogen concentrations may be determined by making the proper dilutions. This test method does not determine molecular nitrogen (N2).~r~n~r~nIf water samples contain high concentrations of suspended matter or dissolved nonvolatile compounds, the syringe needle may tend to plug or the precision and bias of the test method may be degraded. In such a case, the sample boat system should be used."
TN,N-UV-ABS,mg/l,Total Nitrogen,Ultraviolet Absortiometry,Spectroscopy,JIS K 0102 45.2,JSA 1998,"An alkaline potassium peroxodisulfate solution is added to the water sample which is then heated at about 120°C to convert nitrogen compounds to nitrate ion and to decompose organic matter at the same time. After reducing the pH to 2 or 3, the absorbance of the nitrate ion is measured at 220 nm wavelength. This method is suitable for samples with low amounts of decomposable organic matter, and very low concentrations of interferences such as bromide ion or chromium"
TN,TN-CALC-SUM-N,mg/l,Total Nitrogen,"Total Sum of Nitrogen (Nitrite, Nitrate, Ammoniacal Nitrogen and Organic Nitrogen)",Calculation,,,
TOC,HTC-NDI,mg/l,Total Organic Carbon,High Temperature Combustion Method with Non-dispersive Infrared Analyzer,Spectroscopy,SM 5310 B,APHA 2012,"A small volume of a blended sample is injected into a combustion tube, at 950°C, containing pumice stone impregnated with cobalt oxide. The carbonaceous material in the sample is oxidized, yielding carbon dioxide and steam. The resulting CO2 is measured by an IR analyzer and compared to identically-prepared organic Carbon standard and blank solutions to give total C.~r~nAn identical volume of sample is injected into a combustion tube, at 150°C containing 85% H3PO4 on quartz chips. The airflow carries out the resulting sample which is condensed and the inorganic carbon, as CO2, is measured by an IR analyzer, and compared to identically-prepared inorganic carbon standard and blank solutions. The total organic carbon is calculated by difference.~r~n~r~nInterference: Large particles may not be injected."
TOC,HTC-NDI-Auto,mg/l,Total Organic Carbon,High-Temperature Combustion Method with Automated Non-dispersive Infrared Analyzer,Spectroscopy,SM 5310 B,APHA 2012,"Total carbon is analyzed by injecting a blended whole water sample onto a platinum catalyst packed combustion tube kept at 680°C. The CO2 formed, which is proportional to the total carbon in the sample, is measured on a non-dispersive infrared detector. Total inorganic carbon is then analyzed by injecting an identical blended whole water sample into an inorganic reaction vessel containing 25% phosphoric acid. The CO2 formed represents the total inorganic carbon in the sample and is determined by a non-dispersive infrared detector. Calculation of the total organic carbon is obtained by subtracting the total inorganic carbon from the total carbon.~r~n Calculation: TOC = TC - TIC"
TOC,TOC-CALC,mg/l,Total Organic Carbon,Calculated (TOC),Calculation,,,TOC = DOC + POC
TOLH,P-T-GC-FID,µg/l,Methylbenzene,Purge and Trap Capillary-Column Gas Chromatographic Method with Flame Ionization Detector,Chromatography,SM 6200 C,APHA 2012,"Purge-and-trap gas chromatography using a capillary column and flame ionization detection. A 5.0 mL water sample is purged with nitrogen and released volatiles are adsorbed onto a Tenax No3 GC trap. Analytes are thermally desorbed onto a PE-502.2 capillary column into a flame ionization detector. Identification and quantification are performed according to retention times and peak area using a multi-point calibration curve. Confirmation is achieved using a second capillary column, such as PE-5 or PE-1301."
TOTCOLI,COLI-MF,1/100 ml,Total Coliform,Membrane Filter Technique for Members of the Coliform Group,Estimation,SM 9222 B,APHA 2012,"Minor variations in analytical techniques can cause change in results; therefore microbiological methods and sterilising procedures must be standardized to obtain uniform results from different laboratories. The Membrane Filter technique is usually more rapid and more reproducible than the multiple-tube technique in monitoring drinking water and a variety of natural waters. MF has limitations: i.e.: testing samples with high turbidity or large background (non-coliforms) bacteria. Apply sufficient medium (lauryl tryptose broth) in fermentation tubes, incubate at 20°C overnight before use and discard tubes with growth or bubbles.The coliform group is defined as all bacteria that produce a red colony with a metallic (golden) sheen within 24 hours at 35°C on an Endo-type medium containing lactose (production of aldehydes). The medium is stable for a maximum of three weeks and the broth for four days at 4°C. Filter 100 to 1000 mL of water, place filter paper on saturated lactose pad for two hours at 35ºC, remove from incubator and transfer to M-endo medium pad, incubate for 20 to 22 hours at 35°C ± 0.5°C, then count the colonies on membrane filters using a 10 to 15 times magnifying binocular wide field dissecting microscope or equivalent, with a cool white fluorescent light source directed to provide maximum viewing of the sheen."
TOTCOLI,ESCT,1/100 ml,Total Coliform,Enzyme Substrate Coliform Test,Colorimetry,SM 9223 B,APHA 2012,"After 100 mL of a sample is added to one of the following media (a MMO-MUG culture medium, an ONPG-MUG culture medium with added IPTG, an XGaL-MUG culture medium, or an XGaL-MUG culture medium with added pyruvic acid), 5 tubes of the medium and test sample are mixed. Then, the sample is incubated for 24 hours. After incubation, the sample is irradiated with ultraviolet light with a wavelength of 366 nm from a UV lamp to verify the presence of fluorescence. The sample is judged positive if the fluorescence of the culture medium is stronger than a colorimetric solution of appropriate medium and negative if the fluorescence is weaker. It is sought the most probable number corresponding to the dilution of the test water."
TOTCOLI,ESCT-COLILERT,1/100 ml,Total Coliform,Colilert Quanti-Tray,Colorimetry,SM 9223 B,APHA 2012,"The nature of the Colilert test, which is simply a Most Probable Number (MPN) test, is that 100 ml of sample (mixed with growth media) is poured and sealed into a plastic tray that has 49 large wells and 48 small wells. After 24 hours incubation at 35 °C the number of wells (large and small) showing positive signs of coliform growth (due to presence of enzyme beta-galactosidase) are counted and those numbers then referred to an MPN table. The maximum MPN number that can be achieved without dilution of the sample is 2419.17 i.e. 49 large wells and 47 small wells reading positive. If all wells are positive (49 large and 48 small) then the test has gone over range and a result of >2419.2 is reported, unless the sample was prior diluted."
TOTCOLI,MTF,1/100 ml,Total Coliform,Multiple-Tube Fermentation Technique for Members of the Coliform Group,Estimation,SM 9221 B,APHA 2012,"Minor variations in analytical techniques can cause change in results; therefore microbiological methods and sterilising procedures must be standardized to obtain uniform results from different laboratories. The results are an estimate of the mean density of coliforms in the sample and are reported as most probable number (MPN). Unless a large portion of fermentation tubes are used, the precision is low.~r~n Presumptive Phase:~r~n Use sufficient medium (lauryl tryptose broth) in fermentation tubes, incubate at 20°C overnight before use and discard tubes with growth or bubbles.~r~n Arrange fermentation tubes in rows of five or ten in test tube rack. For potable water, use five 20mL portions, ten 10mL portions tubes or a single 100mL portion. For non-potable water, use five tubes per dilution (10, 1.0, 0.1 mL, etc). Shake sample well, inoculate and mix test tubes in the medium by gentle agitation. Incubate inoculated tubes or bottles at 35°C ± 0.5°C. [Japan uses 36°C ± 1°C.] After 24 hours, swirl each container and check for growth, gas or acidic reaction (producing a shade of yellow colour) and document. If absent, re-incubate for another 24 hours. The absence of acidic reaction or gas formation constitutes a negative test.~r~n Confirmed Phase:~r~n Submit all presumptive tubes with growth, gas or acidic reaction. Transfer culture to the fermentation tube (containing brilliant green lactose bile broth) or insert a sterile applicator into the culture, quickly remove and insert to the bottom of fermentation tube containing the broth. Remove and discard applicator. Repeat for all positive presumptive tubes. Incubate at 35°C ± 0.5°C. [Japan uses 36°C ± 1°C.] Formation of gas at any time within 48 hours ± 3 hours constitutes a positive confirmed phase.~r~n Alternative Procedure (for polluted waters):~r~n If all presumptive tubes are positive in two or more consecutive dilutions within 24 hours, only submit, to the confirmed phase, all tubes with the highest dilution (also submit all positive tubes produced after 48 hours).~r~n Calculate the MPN value from the number of positive brilliant green lactose bile tubes."
TOTCOLI,Wag-WE10050,1/100 ml,Total Coliform,Potaflex Microbiological Water Testing Kit,Estimation,Wag-WE10050,Wagtech 2013,WTW Potatest based on membrane filtration.
TP,COL-AA-SA-PPS,mg/l,Total Phosphorus,Ascorbic Acid Method with Preliminary H2SO4 and K2S2O8 Digestion,Colorimetry,SM 4500-P B/E,APHA 2012,"A sample is preserved in the field with 0.2% H2SO4. The sample aliquot is autoclaved with K2S2O8 and H2SO4 for 30 minutes at 121°C and mixed with ammonium molybdate, antimonyl tartrate and ascorbic acid solutions to form a molybdenum blue complex. The resulting blue colour is measured spectrometrically and compared to identically-prepared standard and blank solutions."
TP,COL-SnCl-SA-PPS,mg/l,Total Phosphorus,Stannous Chloride Method with Preliminary H2SO4 and K2S2O8 Digestion,Colorimetry,SM 4500-P B/D,APHA 2012,"A sample is preserved in the field with 0.2% H2SO4. The shaken sample aliquot is autoclaved with K2S2O8 and H2SO4 for 30 minutes at 121°C. The sample is then mixed with ammonium molybdate to form the heteropoly molybdophosphoric acid and is reduced with stannous chloride, in an aqueous sulphuric acid medium, at 30°C, to form a molybdenum blue complex. The resulting blue colour is measured spectrometrically at 660 nm and compared to identically-prepared standard and blank solutions. Interferences: Hg concentration of 1 mg/L and As."
TP,IC-CSC,mg/l,Total Phosphorus,Ion Chromatography with Chemical Suppression of Eluent Conductivity,Chromatography,ISO 14911,ISO 1998,
